;;;;;;;;;;;;;;;
LE002;Rib Legging;Lychee;LYCHEE;56;;1;1;15,20;15,20;34,95;8720168963284;61112090;Portugal;95% organic rib cotton, 5% elastan;95% Organic cotton, 5% Elastane
LE002;Rib Legging;Lychee;LYCHEE;62;;1;1;15,20;15,20;34,95;8720168963291;61112090;Portugal;95% organic rib cotton, 5% elastan;95% Organic cotton, 5% Elastane
LE002;Rib Legging;Lychee;LYCHEE;68;;1;1;15,20;15,20;34,95;8720168963307;61112090;Portugal;95% organic rib cotton, 5% elastan;95% Organic cotton, 5% Elastane
;;;;;;;;;;;;;;;
Artikelnummer;Artikel;Kleur;Kleurnummer;Maat;Maat 2;Aantal;Inhoud;Prijs per stuk;Totaal;Adviesprijs;Barcode;Goederencode;Land van herkomst;Kwaliteit;Materialen
ON002;Butt Onesie;Off White;OFF WHITE;56;;1;1;21,72;21,72;49,95;8720053289369;61112090;Portugal;95% GOTS organic jersey cotton, 5% elastan;95% Organic cotton, 5% Elastane
ON002;Butt Onesie;Off White;OFF WHITE;62;;1;1;21,72;21,72;49,95;8720053289376;61112090;Portugal;95% GOTS organic jersey cotton, 5% elastan;95% Organic cotton, 5% Elastane
ON002;Butt Onesie;Off White;OFF WHITE;68;;1;1;21,72;21,72;49,95;8720053281394;61112090;Portugal;95% GOTS organic jersey cotton, 5% elastan;95% Organic cotton, 5% Elastane
ON002;Butt Onesie;Old Pink;OLD PINK;56;;1;1;21,72;21,72;49,95;8720053289321;61112090;Portugal;95% GOTS organic jersey cotton, 5% elastan;95% Organic cotton, 5% Elastane
ON002;Butt Onesie;Old Pink;OLD PINK;62;;1;1;21,72;21,72;49,95;8720053289338;61112090;Portugal;95% GOTS organic jersey cotton, 5% elastan;95% Organic cotton, 5% Elastane
ON002;Butt Onesie;Old Pink;OLD PINK;68;;1;1;21,72;21,72;49,95;8720053289345;61112090;Portugal;95% GOTS organic jersey cotton, 5% elastan;95% Organic cotton, 5% Elastane
ON002;Butt Onesie;Storm Stripe;STORM STRIPE;56;;1;1;21,72;21,72;49,95;8720963641226;61112090;Portugal;95% GOTS organic jersey cotton, 5% elastan;95% Organic cotton, 5% Elastane
ON002;Butt Onesie;Storm Stripe;STORM STRIPE;62;;1;1;21,72;21,72;49,95;8720963641233;61112090;Portugal;95% GOTS organic jersey cotton, 5% elastan;95% Organic cotton, 5% Elastane
ON002;Butt Onesie;Storm Stripe;STORM STRIPE;68;;1;1;21,72;21,72;49,95;8720963641240;61112090;Portugal;95% GOTS organic jersey cotton, 5% elastan;95% Organic cotton, 5% Elastane
ON002;Butt Onesie;Wild Green;WILD GREEN;56;;1;1;21,72;21,72;49,95;8720053282056;61112090;Portugal;95% GOTS organic jersey cotton, 5% elastan;95% Organic cotton, 5% Elastane
ON002;Butt Onesie;Wild Green;WILD GREEN;62;;1;1;21,72;21,72;49,95;8720053282063;61112090;Portugal;95% GOTS organic jersey cotton, 5% elastan;95% Organic cotton, 5% Elastane
ON002;Butt Onesie;Wild Green;WILD GREEN;68;;1;1;21,72;21,72;49,95;8720053282070;61112090;Portugal;95% GOTS organic jersey cotton, 5% elastan;95% Organic cotton, 5% Elastane
;;;;;;;;;;;;;;;
Artikelnummer;Artikel;Kleur;Kleurnummer;Maat;Maat 2;Aantal;Inhoud;Prijs per stuk;Totaal;Adviesprijs;Barcode;Goederencode;Land van herkomst;Kwaliteit;Materialen
ON003;Rib Onesie;Biscuit Stripe;BISCUIT STRIPE;56;;1;1;21,72;21,72;49,95;8720791958824;61112090;Portugal;95% organic rib cotton, 5% elastan;95% Organic cotton, 5% Elastane
ON003;Rib Onesie;Biscuit Stripe;BISCUIT STRIPE;62;;1;1;21,72;21,72;49,95;8720791958831;61112090;Portugal;95% organic rib cotton, 5% elastan;95% Organic cotton, 5% Elastane
ON003;Rib Onesie;Biscuit Stripe;BISCUIT STRIPE;68;;1;1;21,72;21,72;49,95;8720791958848;61112090;Portugal;95% organic rib cotton, 5% elastan;95% Organic cotton, 5% Elastane
;;;;;;;;;;;;;;;
Artikelnummer;Artikel;Kleur;Kleurnummer;Maat;Maat 2;Aantal;Inhoud;Prijs per stuk;Totaal;Adviesprijs;Barcode;Goederencode;Land van herkomst;Kwaliteit;Materialen
ON902;Snap onesie;Snow;SNOW;56;;1;1;26,07;26,07;59,95;8720963662498;61112090;Portugal;95% GOTS organic jersey cotton, 5% elastan;95% Organic cotton, 5% Elastane
ON902;Snap onesie;Snow;SNOW;62;;1;1;26,07;26,07;59,95;8720963662504;61112090;Portugal;95% GOTS organic jersey cotton, 5% elastan;95% Organic cotton, 5% Elastane
ON902;Snap onesie;Snow;SNOW;68;;1;1;26,07;26,07;59,95;8720963662511;61112090;Portugal;95% GOTS organic jersey cotton, 5% elastan;95% Organic cotton, 5% Elastane
;;;;;;;;;;;;;;;
Artikelnummer;Artikel;Kleur;Kleurnummer;Maat;Maat 2;Aantal;Inhoud;Prijs per stuk;Totaal;Adviesprijs;Barcode;Goederencode;Land van herkomst;Kwaliteit;Materialen
VE003;Rib Vest;Lychee;LYCHEE;56;;1;1;16,07;16,07;36,95;8720168963208;61112090;Portugal;95% organic rib cotton, 5% elastan;95% Organic cotton, 5% Elastane
VE003;Rib Vest;Lychee;LYCHEE;62;;1;1;16,07;16,07;36,95;8720168963215;61112090;Portugal;95% organic rib cotton, 5% elastan;95% Organic cotton, 5% Elastane
VE003;Rib Vest;Lychee;LYCHEE;68;;1;1;16,07;16,07;36,95;8720168963222;61112090;Portugal;95% organic rib cotton, 5% elastan;95% Organic cotton, 5% Elastane
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Stuks;;36;;;;;;;;;;;;;
Goederentotaal;;591,46;;;;;;;;;;;;;
Verzendkosten;;9,00;;;;;;;;;;;;;
Totaal excl. btw (EUR);;600,46;;;;;;;;;;;;;
