Style No;Style Name;Brand;Type;Category;Quality;Color;Size;Qty;Barcode;Weight;Country;Customs Tariff No;Wholesale Price EURO;Recommended Retail Price EURO;Season;Delivery;Washing;Ironing;Drying;Drycleaning;Bleaching;Gender;Dimensions;Description;Order No.;Customer Name;Account No.;Customer Order No.;Color Description;Delivery No.;Delivery Date;Invoice Account No.;Brand VAT;Currency;Original Sales Price EURO;Company info;Country of Origin;Wash
F1963;DONNY PANT;FLIINK;PANT;WOVEN;100% COTTON;BEETLE;2Y/92;2;5715435145930;219;China;6206300000;16,00;39,99;26 AUTUMN/WINTER;OCTOBER;;;;;;Unisex;B35XL30XH0.33;"• Denim pants with elastic waist
• Adjustable cotton drawstring
• Spacious and comfortable fit with good mobility
• Practical side pockets
• Sporty cotton tape along the side";8031;Jove Bv;3698;;;;;3698;43139754;EUR;16,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Kina;"• Maskinvaskes på 30°C, halv belastning
• Kort centrifugeringscyklus
• Må ikke bleges
• Må ikke tørretumbles
• Stryges ved laveste temperatur
• Må ikke renses"
F1963;DONNY PANT;FLIINK;PANT;WOVEN;100% COTTON;BEETLE;3Y/98;2;5715435145947;219;China;6206300000;16,00;39,99;26 AUTUMN/WINTER;OCTOBER;;;;;;Unisex;B35XL30XH0.33;"• Denim pants with elastic waist
• Adjustable cotton drawstring
• Spacious and comfortable fit with good mobility
• Practical side pockets
• Sporty cotton tape along the side";8031;Jove Bv;3698;;;;;3698;43139754;EUR;16,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Kina;"• Maskinvaskes på 30°C, halv belastning
• Kort centrifugeringscyklus
• Må ikke bleges
• Må ikke tørretumbles
• Stryges ved laveste temperatur
• Må ikke renses"
F1963;DONNY PANT;FLIINK;PANT;WOVEN;100% COTTON;BEETLE;4Y/104;2;5715435145954;219;China;6206300000;16,00;39,99;26 AUTUMN/WINTER;OCTOBER;;;;;;Unisex;B35XL30XH0.33;"• Denim pants with elastic waist
• Adjustable cotton drawstring
• Spacious and comfortable fit with good mobility
• Practical side pockets
• Sporty cotton tape along the side";8031;Jove Bv;3698;;;;;3698;43139754;EUR;16,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Kina;"• Maskinvaskes på 30°C, halv belastning
• Kort centrifugeringscyklus
• Må ikke bleges
• Må ikke tørretumbles
• Stryges ved laveste temperatur
• Må ikke renses"
F1963;DONNY PANT;FLIINK;PANT;WOVEN;100% COTTON;BEETLE;5Y/110;2;5715435145961;219;China;6206300000;16,00;39,99;26 AUTUMN/WINTER;OCTOBER;;;;;;Unisex;B35XL30XH0.33;"• Denim pants with elastic waist
• Adjustable cotton drawstring
• Spacious and comfortable fit with good mobility
• Practical side pockets
• Sporty cotton tape along the side";8031;Jove Bv;3698;;;;;3698;43139754;EUR;16,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Kina;"• Maskinvaskes på 30°C, halv belastning
• Kort centrifugeringscyklus
• Må ikke bleges
• Må ikke tørretumbles
• Stryges ved laveste temperatur
• Må ikke renses"
F1963;DONNY PANT;FLIINK;PANT;WOVEN;100% COTTON;BEETLE;6Y/116;2;5715435145978;219;China;6206300000;16,00;39,99;26 AUTUMN/WINTER;OCTOBER;;;;;;Unisex;B35XL30XH0.33;"• Denim pants with elastic waist
• Adjustable cotton drawstring
• Spacious and comfortable fit with good mobility
• Practical side pockets
• Sporty cotton tape along the side";8031;Jove Bv;3698;;;;;3698;43139754;EUR;16,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Kina;"• Maskinvaskes på 30°C, halv belastning
• Kort centrifugeringscyklus
• Må ikke bleges
• Må ikke tørretumbles
• Stryges ved laveste temperatur
• Må ikke renses"
F2059;ALILLY WIDE VEST;FLIINK;VEST;KNIT;50% ECOVERO VISCOSE, 27% NYLON, 23% POLYESTER;BURGENDY;2-3 YRS (95 CM);1;5715435147958;152;Bangladesh;6209909090;16,00;39,99;26 AUTUMN/WINTER;SEPTEMBER;;;;;;Unisex;;"• Knitted vest with structured pattern
• Ruffle details at armholes
• Round neckline with ribbed trim
• Wide and comfortable fit
• Perfect for layering over blouses or dresses";8031;Jove Bv;3698;;;;;3698;43139754;EUR;16,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Bangladesh;
F2059;ALILLY WIDE VEST;FLIINK;VEST;KNIT;50% ECOVERO VISCOSE, 27% NYLON, 23% POLYESTER;BURGENDY;4-5 YRS (110 CM);1;5715435147965;152;Bangladesh;6209909090;16,00;39,99;26 AUTUMN/WINTER;SEPTEMBER;;;;;;Unisex;;"• Knitted vest with structured pattern
• Ruffle details at armholes
• Round neckline with ribbed trim
• Wide and comfortable fit
• Perfect for layering over blouses or dresses";8031;Jove Bv;3698;;;;;3698;43139754;EUR;16,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Bangladesh;
F2059;ALILLY WIDE VEST;FLIINK;VEST;KNIT;50% ECOVERO VISCOSE, 27% NYLON, 23% POLYESTER;BURGENDY;6-7 YRS (120 CM);1;5715435147972;152;Bangladesh;6209909090;16,00;39,99;26 AUTUMN/WINTER;SEPTEMBER;;;;;;Unisex;;"• Knitted vest with structured pattern
• Ruffle details at armholes
• Round neckline with ribbed trim
• Wide and comfortable fit
• Perfect for layering over blouses or dresses";8031;Jove Bv;3698;;;;;3698;43139754;EUR;16,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Bangladesh;
F2060;ALILLY WIDE PANT;FLIINK;PANT;KNIT;50% ECOVERO VISCOSE, 27% NYLON, 23% POLYESTER;BURGENDY;2-3 YRS (95 CM);1;5715435148009;160;Bangladesh;6209909090;16,00;39,99;26 AUTUMN/WINTER;SEPTEMBER;;;;;;Unisex;;"• Knitted pants with a loose fit
• Elastic waistband for comfort
• Wide legs for freedom of movement
• Knitted structure at the bottom for detail and finish";8031;Jove Bv;3698;;;;;3698;43139754;EUR;16,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Bangladesh;
F2060;ALILLY WIDE PANT;FLIINK;PANT;KNIT;50% ECOVERO VISCOSE, 27% NYLON, 23% POLYESTER;BURGENDY;4-5 YRS (110 CM);1;5715435148016;160;Bangladesh;6209909090;16,00;39,99;26 AUTUMN/WINTER;SEPTEMBER;;;;;;Unisex;;"• Knitted pants with a loose fit
• Elastic waistband for comfort
• Wide legs for freedom of movement
• Knitted structure at the bottom for detail and finish";8031;Jove Bv;3698;;;;;3698;43139754;EUR;16,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Bangladesh;
F2060;ALILLY WIDE PANT;FLIINK;PANT;KNIT;50% ECOVERO VISCOSE, 27% NYLON, 23% POLYESTER;BURGENDY;6-7 YRS (120 CM);1;5715435148023;160;Bangladesh;6209909090;16,00;39,99;26 AUTUMN/WINTER;SEPTEMBER;;;;;;Unisex;;"• Knitted pants with a loose fit
• Elastic waistband for comfort
• Wide legs for freedom of movement
• Knitted structure at the bottom for detail and finish";8031;Jove Bv;3698;;;;;3698;43139754;EUR;16,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Bangladesh;
F2061;ALVIN AUTUMN SWEATSHIRT;FLIINK;PULLOVER;SWEAT;85% ORGANIC COTTON, 15% POLYESTER;COFFEE BEAN;2Y/92;1;5715435148054;280;China;6104520000;20,00;49,99;26 AUTUMN/WINTER;SEPTEMBER;;;;;;Unisex;;"• Pullover in soft sweat fabric
• Loose and spacious fit for comfort and freedom of movement
• Motif with the text 'autumn ingredients' on the front
• Applied stripes on the sleeves";8031;Jove Bv;3698;;;;;3698;43139754;EUR;20,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Tyrkiet;
F2061;ALVIN AUTUMN SWEATSHIRT;FLIINK;PULLOVER;SWEAT;85% ORGANIC COTTON, 15% POLYESTER;COFFEE BEAN;3Y/98;1;5715435148061;280;China;6104520000;20,00;49,99;26 AUTUMN/WINTER;SEPTEMBER;;;;;;Unisex;;"• Pullover in soft sweat fabric
• Loose and spacious fit for comfort and freedom of movement
• Motif with the text 'autumn ingredients' on the front
• Applied stripes on the sleeves";8031;Jove Bv;3698;;;;;3698;43139754;EUR;20,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Tyrkiet;
F2061;ALVIN AUTUMN SWEATSHIRT;FLIINK;PULLOVER;SWEAT;85% ORGANIC COTTON, 15% POLYESTER;COFFEE BEAN;4Y/104;1;5715435148078;280;China;6104520000;20,00;49,99;26 AUTUMN/WINTER;SEPTEMBER;;;;;;Unisex;;"• Pullover in soft sweat fabric
• Loose and spacious fit for comfort and freedom of movement
• Motif with the text 'autumn ingredients' on the front
• Applied stripes on the sleeves";8031;Jove Bv;3698;;;;;3698;43139754;EUR;20,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Tyrkiet;
F2061;ALVIN AUTUMN SWEATSHIRT;FLIINK;PULLOVER;SWEAT;85% ORGANIC COTTON, 15% POLYESTER;COFFEE BEAN;5Y/110;1;5715435148085;280;China;6104520000;20,00;49,99;26 AUTUMN/WINTER;SEPTEMBER;;;;;;Unisex;;"• Pullover in soft sweat fabric
• Loose and spacious fit for comfort and freedom of movement
• Motif with the text 'autumn ingredients' on the front
• Applied stripes on the sleeves";8031;Jove Bv;3698;;;;;3698;43139754;EUR;20,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Tyrkiet;
F2061;ALVIN AUTUMN SWEATSHIRT;FLIINK;PULLOVER;SWEAT;85% ORGANIC COTTON, 15% POLYESTER;COFFEE BEAN;6Y/116;1;5715435148092;280;China;6104520000;20,00;49,99;26 AUTUMN/WINTER;SEPTEMBER;;;;;;Unisex;;"• Pullover in soft sweat fabric
• Loose and spacious fit for comfort and freedom of movement
• Motif with the text 'autumn ingredients' on the front
• Applied stripes on the sleeves";8031;Jove Bv;3698;;;;;3698;43139754;EUR;20,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Tyrkiet;
F2095;DOLLY STRIPE PANT;FLIINK;PANT;WOVEN;100% COTTON;SMOKE ROSE/BURGUNDY STRIPE;2Y/92;1;5715435148894;110;China;6206300000;18,00;44,99;26 AUTUMN/WINTER;SEPTEMBER;;;;;;Unisex;;"• Fine soft velvet pants with stripes
• Loose fit with elastic waistband
• Side pockets with ruffle details
• Wide legs for comfort and freedom of movement";8031;Jove Bv;3698;;;;;3698;43139754;EUR;18,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Kina;
F2095;DOLLY STRIPE PANT;FLIINK;PANT;WOVEN;100% COTTON;SMOKE ROSE/BURGUNDY STRIPE;3Y/98;1;5715435148900;110;China;6206300000;18,00;44,99;26 AUTUMN/WINTER;SEPTEMBER;;;;;;Unisex;;"• Fine soft velvet pants with stripes
• Loose fit with elastic waistband
• Side pockets with ruffle details
• Wide legs for comfort and freedom of movement";8031;Jove Bv;3698;;;;;3698;43139754;EUR;18,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Kina;
F2095;DOLLY STRIPE PANT;FLIINK;PANT;WOVEN;100% COTTON;SMOKE ROSE/BURGUNDY STRIPE;4Y/104;1;5715435148917;110;China;6206300000;18,00;44,99;26 AUTUMN/WINTER;SEPTEMBER;;;;;;Unisex;;"• Fine soft velvet pants with stripes
• Loose fit with elastic waistband
• Side pockets with ruffle details
• Wide legs for comfort and freedom of movement";8031;Jove Bv;3698;;;;;3698;43139754;EUR;18,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Kina;
F2095;DOLLY STRIPE PANT;FLIINK;PANT;WOVEN;100% COTTON;SMOKE ROSE/BURGUNDY STRIPE;5Y/110;1;5715435148924;110;China;6206300000;18,00;44,99;26 AUTUMN/WINTER;SEPTEMBER;;;;;;Unisex;;"• Fine soft velvet pants with stripes
• Loose fit with elastic waistband
• Side pockets with ruffle details
• Wide legs for comfort and freedom of movement";8031;Jove Bv;3698;;;;;3698;43139754;EUR;18,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Kina;
F2095;DOLLY STRIPE PANT;FLIINK;PANT;WOVEN;100% COTTON;SMOKE ROSE/BURGUNDY STRIPE;6Y/116;1;5715435148931;110;China;6206300000;18,00;44,99;26 AUTUMN/WINTER;SEPTEMBER;;;;;;Unisex;;"• Fine soft velvet pants with stripes
• Loose fit with elastic waistband
• Side pockets with ruffle details
• Wide legs for comfort and freedom of movement";8031;Jove Bv;3698;;;;;3698;43139754;EUR;18,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Kina;
F2101;DONNA EMBR SHIRT DRESS;FLIINK;DRESS;WOVEN;100% COTTON;DARK DENIM BLUE;2Y/92;1;5715435146258;220;China;6206300000;24,00;59,99;26 AUTUMN/WINTER;OCTOBER;;;;;;Unisex;;"• Denim dress with classic collar and metal buttons along the front
• Embroidered berries all over the dress
• 2/3-length loose sleeves
• A-line cut providing a spacious and comfortable fit";8031;Jove Bv;3698;;;;;3698;43139754;EUR;24,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Kina;
F2101;DONNA EMBR SHIRT DRESS;FLIINK;DRESS;WOVEN;100% COTTON;DARK DENIM BLUE;3Y/98;1;5715435146265;220;China;6206300000;24,00;59,99;26 AUTUMN/WINTER;OCTOBER;;;;;;Unisex;;"• Denim dress with classic collar and metal buttons along the front
• Embroidered berries all over the dress
• 2/3-length loose sleeves
• A-line cut providing a spacious and comfortable fit";8031;Jove Bv;3698;;;;;3698;43139754;EUR;24,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Kina;
F2101;DONNA EMBR SHIRT DRESS;FLIINK;DRESS;WOVEN;100% COTTON;DARK DENIM BLUE;4Y/104;1;5715435146272;220;China;6206300000;24,00;59,99;26 AUTUMN/WINTER;OCTOBER;;;;;;Unisex;;"• Denim dress with classic collar and metal buttons along the front
• Embroidered berries all over the dress
• 2/3-length loose sleeves
• A-line cut providing a spacious and comfortable fit";8031;Jove Bv;3698;;;;;3698;43139754;EUR;24,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Kina;
F2101;DONNA EMBR SHIRT DRESS;FLIINK;DRESS;WOVEN;100% COTTON;DARK DENIM BLUE;5Y/110;1;5715435146289;220;China;6206300000;24,00;59,99;26 AUTUMN/WINTER;OCTOBER;;;;;;Unisex;;"• Denim dress with classic collar and metal buttons along the front
• Embroidered berries all over the dress
• 2/3-length loose sleeves
• A-line cut providing a spacious and comfortable fit";8031;Jove Bv;3698;;;;;3698;43139754;EUR;24,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Kina;
F2101;DONNA EMBR SHIRT DRESS;FLIINK;DRESS;WOVEN;100% COTTON;DARK DENIM BLUE;6Y/116;1;5715435146296;220;China;6206300000;24,00;59,99;26 AUTUMN/WINTER;OCTOBER;;;;;;Unisex;;"• Denim dress with classic collar and metal buttons along the front
• Embroidered berries all over the dress
• 2/3-length loose sleeves
• A-line cut providing a spacious and comfortable fit";8031;Jove Bv;3698;;;;;3698;43139754;EUR;24,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Kina;
F2120;MAHDI PINGO PULLOVER;FLIINK;PULLOVER;KNIT;100% ORGANIC COTTON;BEETLE;2-3 YRS (95 CM);1;5715435146586;180;Bangladesh;6104520000;20,00;49,99;26 AUTUMN/WINTER;OCTOBER;;;;;;Unisex;;"• Classic cotton sweater with long sleeves
• Loose fit with rib knit at sleeves, neck, and hem
• Embroidery with penguins and the text 'watch out for happy pengvin' all over the sweater
• Lovely soft quality, perfect for cold autumn days";8031;Jove Bv;3698;;;;;3698;43139754;EUR;20,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Bangladesh;
F2120;MAHDI PINGO PULLOVER;FLIINK;PULLOVER;KNIT;100% ORGANIC COTTON;BEETLE;4-5 YRS (110 CM);1;5715435146593;180;Bangladesh;6104520000;20,00;49,99;26 AUTUMN/WINTER;OCTOBER;;;;;;Unisex;;"• Classic cotton sweater with long sleeves
• Loose fit with rib knit at sleeves, neck, and hem
• Embroidery with penguins and the text 'watch out for happy pengvin' all over the sweater
• Lovely soft quality, perfect for cold autumn days";8031;Jove Bv;3698;;;;;3698;43139754;EUR;20,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Bangladesh;
F2120;MAHDI PINGO PULLOVER;FLIINK;PULLOVER;KNIT;100% ORGANIC COTTON;BEETLE;6-7 YRS (120 CM);1;5715435146609;180;Bangladesh;6104520000;20,00;49,99;26 AUTUMN/WINTER;OCTOBER;;;;;;Unisex;;"• Classic cotton sweater with long sleeves
• Loose fit with rib knit at sleeves, neck, and hem
• Embroidery with penguins and the text 'watch out for happy pengvin' all over the sweater
• Lovely soft quality, perfect for cold autumn days";8031;Jove Bv;3698;;;;;3698;43139754;EUR;20,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Bangladesh;
F2123;NOVA HEART PULLOVER;FLIINK;PULLOVER;KNIT;100% ORGANIC COTTON;SMOKE ROSE / RED BUD;2-3 YRS (95 CM);1;5715435150330;170;Bangladesh;6104520000;20,00;49,99;26 AUTUMN/WINTER;OCTOBER;;;;;;Unisex;;"• Knitted sweater in soft quality 
• Hearts along the neckline in burgundy color
• Raglan sleeves for freedom of movement
• Loose and comfortable fit";8031;Jove Bv;3698;;;;;3698;43139754;EUR;20,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Bangladesh;
F2123;NOVA HEART PULLOVER;FLIINK;PULLOVER;KNIT;100% ORGANIC COTTON;SMOKE ROSE / RED BUD;4-5 YRS (110 CM);1;5715435150347;170;Bangladesh;6104520000;20,00;49,99;26 AUTUMN/WINTER;OCTOBER;;;;;;Unisex;;"• Knitted sweater in soft quality 
• Hearts along the neckline in burgundy color
• Raglan sleeves for freedom of movement
• Loose and comfortable fit";8031;Jove Bv;3698;;;;;3698;43139754;EUR;20,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Bangladesh;
F2123;NOVA HEART PULLOVER;FLIINK;PULLOVER;KNIT;100% ORGANIC COTTON;SMOKE ROSE / RED BUD;6-7 YRS (120 CM);1;5715435150354;170;Bangladesh;6104520000;20,00;49,99;26 AUTUMN/WINTER;OCTOBER;;;;;;Unisex;;"• Knitted sweater in soft quality 
• Hearts along the neckline in burgundy color
• Raglan sleeves for freedom of movement
• Loose and comfortable fit";8031;Jove Bv;3698;;;;;3698;43139754;EUR;20,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Bangladesh;
F2162;JANIE CASHMERE HEART PULLOVER;FLIINK;PULLOVER;KNIT;94% COTTON, 3% CASHMERE, 3% WOOL;SMOKE ROSE / BURGENDY;2-3 YRS (95 CM);1;5715435147217;250;China;6104520000;22,00;54,99;26 AUTUMN/WINTER;SEPTEMBER;;;;;;Unisex;;"• Long-sleeved sweater with a delicate heart pattern
• Round neckline
• Loose and comfortable fit
• Rib knit at sleeves, neckline, and hem
• Classic sweater in soft and luxurious quality with cotton, cashmere, and wool";8031;Jove Bv;3698;;;;;3698;43139754;EUR;22,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Kina;
