Style Name;Style Number;Color Name;Color Code;Size;Alt Size;UPC/EAN;SKU;Currency;Wholesale Price;Retail Price;Retail Date;Quantity Requested;Quantity Available;Start Ship Date;Cancel Date;Category;Family;Gender;Highlight;Made In;Material;Permanent;Sub-Target;Target;Wave;Color;Technology
BODYJAMA;A0AS9;MARSHMALLOW;01;3M;;3617102252922;A0AS901000;EUR;19,58;47;6/17/26;1;20+;8/21/26;;NIGHTWEAR;GOOD-FITTING ITEMS;Unisex;AH2026, BEST, Reconduit;Maroc;VELVET;Non Permanent;Newborn;Baby;EARLY SEASON;white;Oeko-Tex, Warm
BODYJAMA;A0AS9;MARSHMALLOW;01;6M;;3617102252939;A0AS901010;EUR;19,58;47;6/17/26;1;20+;8/21/26;;NIGHTWEAR;GOOD-FITTING ITEMS;Unisex;AH2026, BEST, Reconduit;Maroc;VELVET;Non Permanent;Newborn;Baby;EARLY SEASON;white;Oeko-Tex, Warm
PYJAMA;A0DO0;MARSHMALLOW/TERKUIT;02;2A;;3617102839253;A0DO002040;EUR;18,75;45;6/29/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;BEST, Permanent;Maroc;FLEECE;Permanent;Kids;Kid;PERMANENT;white;Warm
PYJAMA;A0DO0;MARSHMALLOW/TERKUIT;02;3A;;3617102839260;A0DO002050;EUR;18,75;45;6/29/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;BEST, Permanent;Maroc;FLEECE;Permanent;Kids;Kid;PERMANENT;white;Warm
PYJAMA;A0DO0;MARSHMALLOW/TERKUIT;02;4A;;3617102839277;A0DO002060;EUR;18,75;45;6/29/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;BEST, Permanent;Maroc;FLEECE;Permanent;Kids;Kid;PERMANENT;white;Warm
PYJAMA;A0DO0;MARSHMALLOW/TERKUIT;02;5A;;3617102839321;A0DO002500;EUR;18,75;45;6/29/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;BEST, Permanent;Maroc;FLEECE;Permanent;Kids;Kid;PERMANENT;white;Warm
PYJAMA;A0DO0;MARSHMALLOW/TERKUIT;02;6A;;3617102839291;A0DO002100;EUR;20,83;50;6/29/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;BEST, Permanent;Maroc;FLEECE;Permanent;Kids;Kid;PERMANENT;white;Warm
PYJAMA;A0DO0;MARSHMALLOW/TERKUIT;02;8A;;3617102839307;A0DO002110;EUR;20,83;50;6/29/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;BEST, Permanent;Maroc;FLEECE;Permanent;Kids;Kid;PERMANENT;white;Warm
PYJAMA;A0DO0;MARSHMALLOW/TERKUIT;02;10A;;3617102839314;A0DO002120;EUR;20,83;50;6/29/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;BEST, Permanent;Maroc;FLEECE;Permanent;Kids;Kid;PERMANENT;white;Warm
PYJAMA;A0DO0;MARSHMALLOW/TERKUIT;02;12A;;3617102839284;A0DO002130;EUR;20,83;50;6/29/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;BEST, Permanent;Maroc;FLEECE;Permanent;Kids;Kid;PERMANENT;white;Warm
PYJAMA;A0F7G;MARSHMALLOW/TERKUIT;01;S;;3617102953782;A0F7G01220;EUR;33,33;80;6/29/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;Reconduit;Maroc;1X1 RIB KNIT;Non Permanent;Female;Adult;THEME 1;white;Oeko-Tex
PYJAMA;A0F7G;MARSHMALLOW/TERKUIT;01;M;;3617102953829;A0F7G01230;EUR;33,33;80;6/29/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;Reconduit;Maroc;1X1 RIB KNIT;Non Permanent;Female;Adult;THEME 1;white;Oeko-Tex
PYJAMA;A0F7G;MARSHMALLOW/TERKUIT;01;L;;3617102953805;A0F7G01240;EUR;33,33;80;6/29/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;Reconduit;Maroc;1X1 RIB KNIT;Non Permanent;Female;Adult;THEME 1;white;Oeko-Tex
PYJAMA;A0F7G;MARSHMALLOW/TERKUIT;01;XL;;3617102953812;A0F7G01250;EUR;33,33;80;6/29/26;2;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;Reconduit;Maroc;1X1 RIB KNIT;Non Permanent;Female;Adult;THEME 1;white;Oeko-Tex
PYJAMA;A0F7G;MARSHMALLOW/TERKUIT;01;2XL;;3617102953799;A0F7G01260;EUR;33,33;80;6/29/26;2;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;Reconduit;Maroc;1X1 RIB KNIT;Non Permanent;Female;Adult;THEME 1;white;Oeko-Tex
PYJAMA;A0GAL;MARSHMALLOW/MULTICO;01;2A;;3617103142987;A0GAL01040;EUR;19,58;47;6/29/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;AH2026;Maroc;1X1 RIB KNIT;Non Permanent;Kids;Kid;EARLY SEASON;white;Oeko-Tex
PYJAMA;A0GAL;MARSHMALLOW/MULTICO;01;3A;;3617103142994;A0GAL01050;EUR;19,58;47;6/29/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;AH2026;Maroc;1X1 RIB KNIT;Non Permanent;Kids;Kid;EARLY SEASON;white;Oeko-Tex
PYJAMA;A0GAL;MARSHMALLOW/MULTICO;01;4A;;3617103143007;A0GAL01060;EUR;19,58;47;6/29/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;AH2026;Maroc;1X1 RIB KNIT;Non Permanent;Kids;Kid;EARLY SEASON;white;Oeko-Tex
PYJAMA;A0GAL;MARSHMALLOW/MULTICO;01;5A;;3617103143052;A0GAL01500;EUR;19,58;47;6/29/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;AH2026;Maroc;1X1 RIB KNIT;Non Permanent;Kids;Kid;EARLY SEASON;white;Oeko-Tex
PYJAMA;A0GAL;MARSHMALLOW/MULTICO;01;6A;;3617103143021;A0GAL01100;EUR;21,67;52;6/29/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;AH2026;Maroc;1X1 RIB KNIT;Non Permanent;Kids;Kid;EARLY SEASON;white;Oeko-Tex
PYJAMA;A0GAL;MARSHMALLOW/MULTICO;01;8A;;3617103143038;A0GAL01110;EUR;21,67;52;6/29/26;2;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;AH2026;Maroc;1X1 RIB KNIT;Non Permanent;Kids;Kid;EARLY SEASON;white;Oeko-Tex
PYJAMA;A0GAL;MARSHMALLOW/MULTICO;01;10A;;3617103143045;A0GAL01120;EUR;21,67;52;6/29/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;AH2026;Maroc;1X1 RIB KNIT;Non Permanent;Kids;Kid;EARLY SEASON;white;Oeko-Tex
PYJAMA;A0GAL;MARSHMALLOW/MULTICO;01;12A;;3617103143014;A0GAL01130;EUR;21,67;52;6/29/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;AH2026;Maroc;1X1 RIB KNIT;Non Permanent;Kids;Kid;EARLY SEASON;white;Oeko-Tex
PYJAMA;A0GAQ;MARSHMALLOW/MULTICO;01;XS;;3617103223846;A0GAQ01210;EUR;37,5;90;6/29/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;AH2026, BEST;Maroc;1X1 RIB KNIT;Non Permanent;Female;Adult;EARLY SEASON;white;Oeko-Tex
PYJAMA;A0GAQ;MARSHMALLOW/MULTICO;01;S;;3617103223884;A0GAQ01220;EUR;37,5;90;6/29/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;AH2026, BEST;Maroc;1X1 RIB KNIT;Non Permanent;Female;Adult;EARLY SEASON;white;Oeko-Tex
PYJAMA;A0GAQ;MARSHMALLOW/MULTICO;01;M;;3617103223860;A0GAQ01230;EUR;37,5;90;6/29/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;AH2026, BEST;Maroc;1X1 RIB KNIT;Non Permanent;Female;Adult;EARLY SEASON;white;Oeko-Tex
PYJAMA;A0GAQ;MARSHMALLOW/MULTICO;01;L;;3617103223877;A0GAQ01240;EUR;37,5;90;6/29/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;AH2026, BEST;Maroc;1X1 RIB KNIT;Non Permanent;Female;Adult;EARLY SEASON;white;Oeko-Tex
PYJAMA;A0GAQ;MARSHMALLOW/MULTICO;01;XL;;3617103223853;A0GAQ01250;EUR;37,5;90;6/29/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;AH2026, BEST;Maroc;1X1 RIB KNIT;Non Permanent;Female;Adult;EARLY SEASON;white;Oeko-Tex
PYJAMA;A0GAN;POLAIRE/MILK;01;2A;;3617103178764;A0GAN01040;EUR;19,58;47;8/17/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Male;AH2026, BEST;Maroc;TERRY TOWELLING;Non Permanent;Kids;Kid;MID SEASON;blue;Oeko-Tex
PYJAMA;A0GAN;POLAIRE/MILK;01;3A;;3617103178788;A0GAN01050;EUR;19,58;47;8/17/26;2;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Male;AH2026, BEST;Maroc;TERRY TOWELLING;Non Permanent;Kids;Kid;MID SEASON;blue;Oeko-Tex
PYJAMA;A0GAN;POLAIRE/MILK;01;4A;;3617103178795;A0GAN01060;EUR;19,58;47;8/17/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Male;AH2026, BEST;Maroc;TERRY TOWELLING;Non Permanent;Kids;Kid;MID SEASON;blue;Oeko-Tex
PYJAMA;A0GAN;POLAIRE/MILK;01;5A;;3617103178801;A0GAN01500;EUR;19,58;47;8/17/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Male;AH2026, BEST;Maroc;TERRY TOWELLING;Non Permanent;Kids;Kid;MID SEASON;blue;Oeko-Tex
PYJAMA;A0GAN;POLAIRE/MILK;01;6A;;3617103178818;A0GAN01100;EUR;21,67;52;8/17/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Male;AH2026, BEST;Maroc;TERRY TOWELLING;Non Permanent;Kids;Kid;MID SEASON;blue;Oeko-Tex
PYJAMA;A0GAN;POLAIRE/MILK;01;8A;;3617103178825;A0GAN01110;EUR;21,67;52;8/17/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Male;AH2026, BEST;Maroc;TERRY TOWELLING;Non Permanent;Kids;Kid;MID SEASON;blue;Oeko-Tex
PYJAMA;A0GDZ;POLAIRE/MILK;01;XL;;3617103223716;A0GDZ01250;EUR;45,83;110;8/3/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;AH2026;Maroc;TERRY TOWELLING;Non Permanent;Female;Adult;MID SEASON;blue;Oeko-Tex
PYJAMA;A0GWY;MARSHMALLOW/MULTICO;01;2A;;3617103184758;A0GWY01040;EUR;15,42;37;6/17/26;1;6;8/21/26;;NIGHTWEAR;PYJAMAS;Male;AH2026;Maroc;1X1 RIB KNIT;Non Permanent;Kids;Kid;PREVIEW;white;Oeko-Tex
PYJAMA;A0GWY;MARSHMALLOW/MULTICO;01;3A;;3617103184765;A0GWY01050;EUR;15,42;37;6/17/26;1;8;8/21/26;;NIGHTWEAR;PYJAMAS;Male;AH2026;Maroc;1X1 RIB KNIT;Non Permanent;Kids;Kid;PREVIEW;white;Oeko-Tex
PYJAMA;A0GWY;MARSHMALLOW/MULTICO;01;4A;;3617103184772;A0GWY01060;EUR;15,42;37;6/17/26;2;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Male;AH2026;Maroc;1X1 RIB KNIT;Non Permanent;Kids;Kid;PREVIEW;white;Oeko-Tex
PYJAMA;A0GWY;MARSHMALLOW/MULTICO;01;6A;;3617103184796;A0GWY01100;EUR;16,25;39;6/17/26;1;10;8/21/26;;NIGHTWEAR;PYJAMAS;Male;AH2026;Maroc;1X1 RIB KNIT;Non Permanent;Kids;Kid;PREVIEW;white;Oeko-Tex
PYJAMA;A0GWY;MARSHMALLOW/MULTICO;01;8A;;3617103184802;A0GWY01110;EUR;16,25;39;6/17/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Male;AH2026;Maroc;1X1 RIB KNIT;Non Permanent;Kids;Kid;PREVIEW;white;Oeko-Tex
PYJAMA;A0GAA;MILK/MULTICO;01;2A;;3617103257971;A0GAA01040;EUR;19,58;47;8/17/26;1;0;8/21/26;;NIGHTWEAR;PYJAMAS;Female;AH2026, BEST;Maroc;TERRY TOWELLING;Non Permanent;Kids;Kid;MID SEASON;Ecru;Oeko-Tex
PYJAMA;A0GAA;MILK/MULTICO;01;3A;;3617103257988;A0GAA01050;EUR;19,58;47;8/17/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;AH2026, BEST;Maroc;TERRY TOWELLING;Non Permanent;Kids;Kid;MID SEASON;Ecru;Oeko-Tex
PYJAMA;A0GAA;MILK/MULTICO;01;4A;;3617103257957;A0GAA01060;EUR;19,58;47;8/17/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;AH2026, BEST;Maroc;TERRY TOWELLING;Non Permanent;Kids;Kid;MID SEASON;Ecru;Oeko-Tex
PYJAMA;A0GAA;MILK/MULTICO;01;5A;;3617103257926;A0GAA01500;EUR;19,58;47;8/17/26;1;0;8/21/26;;NIGHTWEAR;PYJAMAS;Female;AH2026, BEST;Maroc;TERRY TOWELLING;Non Permanent;Kids;Kid;MID SEASON;Ecru;Oeko-Tex
PYJAMA;A0GAA;MILK/MULTICO;01;6A;;3617103257933;A0GAA01100;EUR;21,67;52;8/17/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;AH2026, BEST;Maroc;TERRY TOWELLING;Non Permanent;Kids;Kid;MID SEASON;Ecru;Oeko-Tex
PYJAMA;A0GAA;MILK/MULTICO;01;8A;;3617103257940;A0GAA01110;EUR;21,67;52;8/17/26;1;0;8/21/26;;NIGHTWEAR;PYJAMAS;Female;AH2026, BEST;Maroc;TERRY TOWELLING;Non Permanent;Kids;Kid;MID SEASON;Ecru;Oeko-Tex
PYJAMA;A0GAA;MILK/MULTICO;01;10A;;3617103257995;A0GAA01120;EUR;21,67;52;8/17/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;AH2026, BEST;Maroc;TERRY TOWELLING;Non Permanent;Kids;Kid;MID SEASON;Ecru;Oeko-Tex
PYJAMA;A0GAA;MILK/MULTICO;01;12A;;3617103257964;A0GAA01130;EUR;21,67;52;8/17/26;1;20+;8/21/26;;NIGHTWEAR;PYJAMAS;Female;AH2026, BEST;Maroc;TERRY TOWELLING;Non Permanent;Kids;Kid;MID SEASON;Ecru;Oeko-Tex
CIRE;A0FJH;JAUNE;01;3A;;3617103081446;A0FJH01050;EUR;38,78;95;6/29/26;1;20+;8/21/26;;DAYWEAR;VOLUMINOUS ITEMS;Male;BEST, Permanent;Madagascar;COATED FABRIC;Permanent;Kids;Kid;PERMANENT;yellow;
CIRE;A0FJH;JAUNE;01;4A;;3617103081460;A0FJH01060;EUR;38,78;95;6/29/26;1;20+;8/21/26;;DAYWEAR;VOLUMINOUS ITEMS;Male;BEST, Permanent;Madagascar;COATED FABRIC;Permanent;Kids;Kid;PERMANENT;yellow;
CIRE;A0FJH;JAUNE;01;5A;;3617103081477;A0FJH01500;EUR;38,78;95;6/29/26;1;20+;8/21/26;;DAYWEAR;VOLUMINOUS ITEMS;Male;BEST, Permanent;Madagascar;COATED FABRIC;Permanent;Kids;Kid;PERMANENT;yellow;
CIRE;A0FJH;JAUNE;01;6A;;3617103081484;A0FJH01100;EUR;40,82;100;6/29/26;1;20+;8/21/26;;DAYWEAR;VOLUMINOUS ITEMS;Male;BEST, Permanent;Madagascar;COATED FABRIC;Permanent;Kids;Kid;PERMANENT;yellow;
CIRE;A0FJH;JAUNE;01;8A;;3617103081491;A0FJH01110;EUR;40,82;100;6/29/26;1;20+;8/21/26;;DAYWEAR;VOLUMINOUS ITEMS;Male;BEST, Permanent;Madagascar;COATED FABRIC;Permanent;Kids;Kid;PERMANENT;yellow;
CIRE;A0FJH;JAUNE;01;10A;;3617103081507;A0FJH01120;EUR;40,82;100;6/29/26;1;20+;8/21/26;;DAYWEAR;VOLUMINOUS ITEMS;Male;BEST, Permanent;Madagascar;COATED FABRIC;Permanent;Kids;Kid;PERMANENT;yellow;
CIRE;A0FJH;JAUNE;01;12A;;3617103081514;A0FJH01130;EUR;40,82;100;6/29/26;1;20+;8/21/26;;DAYWEAR;VOLUMINOUS ITEMS;Male;BEST, Permanent;Madagascar;COATED FABRIC;Permanent;Kids;Kid;PERMANENT;yellow;
