EAN;Artikelcode;Productnaam;Merk;Prijs factuur HT (€);Verkoopprijs notitie;Advies/verkoopprijs TTC (€);Bron prijs TTC;Webshoptekst;Bron research
3760217141060;VINGL11;Lip Sirup Treatment Kers;Inuwet;7,30;prijs op factuur HT (leverancier): 7,30 €;14,5;Voorstel Babette ~2× HT, goedgekeurd Margot 15/09/2026;"Inuwet - Lip Sirup Treatment Kers

Een glanzende ‘siroop’-lipbehandeling met kersgeur — juicy, zacht en speels. 🍒

De Lip Sirup Treatment is een verzorgende lipgloss-/olie-achtige treatment met een heerlijk kersparfum. Denk aan een sappige finish die lippen zacht en glanzend laat ogen — zonder zwaar te zijn.

Typisch in de Inuwet-filosofie: vegan-minded, gemaakt voor kids & mama, met een focus op geurbeleving en comfort. Ideaal over een balsem of solo als daily shine.

Aanbrengen op schone lippen; opnieuw aanbrengen wanneer je zin hebt in een juicy boost. (Exacte INCI op verpakking controleren.)

Kenmerken
• Lip treatment / gloss-siroop met kersgeur
• Glanzende, verzorgende finish
• Kids & beauty lipcare Inuwet
• Leuk solo of in een liproutine
• Vegan brand DNA, Made in France-spirit

Over Inuwet
Inuwet is een Franse kids- & beauty-merk dat kleur, geur en speelse rituelen combineert met zachte, vegan formules — gemaakt in Frankrijk en ontworpen voor de hele familie (vaak vanaf 3 jaar).";"Factuur De Bruyère / Inuwet (Lip Sirup Treatment); gerelateerde lipgloss/olie-lijn via inuwet.com gloss collectie — beperkte publieke productfiche voor exacte SKU"
3760217141077;VINGL12;Lip Sirup Treatment Perzik;Inuwet;7,30;prijs op factuur HT (leverancier): 7,30 €;14,5;Voorstel Babette ~2× HT, goedgekeurd Margot 15/09/2026;"Inuwet - Lip Sirup Treatment Perzik

Een glanzende ‘siroop’-lipbehandeling met perzikgeur — juicy, zacht en speels. 🍑

De Lip Sirup Treatment is een verzorgende lipgloss-/olie-achtige treatment met een heerlijk perzikparfum. Denk aan een sappige finish die lippen zacht en glanzend laat ogen — zonder zwaar te zijn.

Typisch in de Inuwet-filosofie: vegan-minded, gemaakt voor kids & mama, met een focus op geurbeleving en comfort. Ideaal over een balsem of solo als daily shine.

Aanbrengen op schone lippen; opnieuw aanbrengen wanneer je zin hebt in een juicy boost. (Exacte INCI op verpakking controleren.)

Kenmerken
• Lip treatment / gloss-siroop met perzikgeur
• Glanzende, verzorgende finish
• Kids & beauty lipcare Inuwet
• Leuk solo of in een liproutine
• Vegan brand DNA, Made in France-spirit

Over Inuwet
Inuwet is een Franse kids- & beauty-merk dat kleur, geur en speelse rituelen combineert met zachte, vegan formules — gemaakt in Frankrijk en ontworpen voor de hele familie (vaak vanaf 3 jaar).";"Factuur De Bruyère / Inuwet (Lip Sirup Treatment); gerelateerde lipgloss/olie-lijn via inuwet.com gloss collectie — beperkte publieke productfiche voor exacte SKU"
3760217141084;VINGL13;Lip Sirup Treatment Aardbei;Inuwet;7,30;prijs op factuur HT (leverancier): 7,30 €;14,5;Voorstel Babette ~2× HT, goedgekeurd Margot 15/09/2026;"Inuwet - Lip Sirup Treatment Aardbei

Een glanzende ‘siroop’-lipbehandeling met aardbeigeur — juicy, zacht en speels. 🍓

De Lip Sirup Treatment is een verzorgende lipgloss-/olie-achtige treatment met een heerlijk aardbeiparfum. Denk aan een sappige finish die lippen zacht en glanzend laat ogen — zonder zwaar te zijn.

Typisch in de Inuwet-filosofie: vegan-minded, gemaakt voor kids & mama, met een focus op geurbeleving en comfort. Ideaal over een balsem of solo als daily shine.

Aanbrengen op schone lippen; opnieuw aanbrengen wanneer je zin hebt in een juicy boost. (Exacte INCI op verpakking controleren.)

Kenmerken
• Lip treatment / gloss-siroop met aardbeigeur
• Glanzende, verzorgende finish
• Kids & beauty lipcare Inuwet
• Leuk solo of in een liproutine
• Vegan brand DNA, Made in France-spirit

Over Inuwet
Inuwet is een Franse kids- & beauty-merk dat kleur, geur en speelse rituelen combineert met zachte, vegan formules — gemaakt in Frankrijk en ontworpen voor de hele familie (vaak vanaf 3 jaar).";"Factuur De Bruyère / Inuwet (Lip Sirup Treatment); gerelateerde lipgloss/olie-lijn via inuwet.com gloss collectie — beperkte publieke productfiche voor exacte SKU"
3760217140407;VINKV22;Duo Vernis Princess Aqualand;Inuwet;7,80;prijs op factuur HT (leverancier): 7,80 €;16,90;"https://www.little-cecile.com/beaute-soins/24453-coffret-duo-vernis-aqualand.html (retailer); officieel duo-aanbod Inuwet";"Inuwet - Duo Vernis Princess Aqualand

Twee watervernissen als een mermaid-duo: speels, glittery en kindvriendelijk. 🧜

Princess Aqualand is een duo watergedragen nagellakken — typisch een roze pastèque-tint en een blauwe/vanilla glitter — voor een aquapark-fantasie op de nagels.

Water based vernis is makkelijk aan te brengen en eenvoudig te verwijderen: ideaal voor kids die graag experimenteren zonder zware solventen. Inuwet-stijl: kleurrijk, vegan-minded en Made in France.

Perfect voor speelse manicures, sleepovers en cadeausets.

Kenmerken
• Duo watervernis (rose pastèque + bleu glitter/vanille)
• Water based — kids-vriendelijk
• Speelse Princess Aqualand look
• Vegan Inuwet nail set
• Ideaal cadeau kids beauty

Over Inuwet
Inuwet is een Franse kids- & beauty-merk dat kleur, geur en speelse rituelen combineert met zachte, vegan formules — gemaakt in Frankrijk en ontworpen voor de hele familie (vaak vanaf 3 jaar).";"https://inuwet.ca/products/coffret-duo-vernis-aqualand ; Little Cécile"
3760217141312;VINKV23;Duo Vernis Bubble Gum;Inuwet;7,80;prijs op factuur HT (leverancier): 7,80 €;14,00;https://inuwet.com (duo vernis Bubble Gum ~14 € TTC) / Little Cécile ~16,90 €;"Inuwet - Duo Vernis Bubble Gum

Bubblegum-roze en vanilla glitter — nagels met snoepwinkel-energie. 🍬

Dit duo watervernis speelt met een bubblegum-roze tint en een zilver/fuchsia of vanille-glitter voor een speelse manicure. Twee flessen, eindeloos mixen.

Water based formules die kindvriendelijk zijn in gebruik en verwijdering. Vegan Inuwet-DNA, Made in France — gemaakt om te spelen met kleur.

Leuk als party-favor, adventsattentie of eerste nagellakset.

Kenmerken
• Duo watervernis Bubble Gum-look
• Roze bubblegum + glitter/vanille accent
• Water based kids nail polish
• Vegan & speels
• Cadeau-ready set

Over Inuwet
Inuwet is een Franse kids- & beauty-merk dat kleur, geur en speelse rituelen combineert met zachte, vegan formules — gemaakt in Frankrijk en ontworpen voor de hele familie (vaak vanaf 3 jaar).";"https://www.little-cecile.com/beaute-soins/24449-coffret-duo-vernis-bubble-gum-et-vanille.html ; inuwet.com duo vernis collectie"
3662232001568;VINLB01;Lippenbalsem Vanille-Coco;Inuwet;3,35;prijs op factuur HT (leverancier): 3,35 €;6,50;https://inuwet.com/products/baume-a-levres-vanille-coco;"Inuwet - Lippenbalsem Vanille-Coco

Iconische Inuwet-balsem met vanille-cocogeur — zacht, vegan en verslavend lekker. 🥥

Deze hydraterende lippenbalsem ruikt heerlijk naar vanille-coco en voedt intens dankzij sheaboter, macadamiaolie en biologische carnaubawas. Lippen voelen soepel, comfortabel en beschermd — de hele dag door.

Formule vegan, gemaakt in Frankrijk, met ca. 94.5% ingrediënten van natuurlijke oorsprong. Geschikt voor kinderen vanaf 3 jaar; ook heerlijk als base onder lipstick.

Aanbrengen wanneer lippen droog aanvoelen of gewoon voor die zoete geurboost.

Kenmerken
• Lippenbalsem parfum vanille-coco
• Sheaboter, macadamiaolie, carnaubawas BIO
• ±94.5% natuurlijke oorsprong, vegan
• Made in France, vanaf 3 jaar
• Kids & mama lipcare classic

Over Inuwet
Inuwet is een Franse kids- & beauty-merk dat kleur, geur en speelse rituelen combineert met zachte, vegan formules — gemaakt in Frankrijk en ontworpen voor de hele familie (vaak vanaf 3 jaar).";https://inuwet.com/products/baume-a-levres-vanille-coco
3662232001469;VINLB03;Lippenbalsem Aardbei;Inuwet;3,35;prijs op factuur HT (leverancier): 3,35 €;6,50;https://inuwet.com/products/baume-a-levres-fraise;"Inuwet - Lippenbalsem Aardbei

Iconische Inuwet-balsem met aardbeigeur — zacht, vegan en verslavend lekker. 🍓

Deze hydraterende lippenbalsem ruikt heerlijk naar aardbei en voedt intens dankzij sheaboter, macadamiaolie en biologische carnaubawas. Lippen voelen soepel, comfortabel en beschermd — de hele dag door.

Formule vegan, gemaakt in Frankrijk, met ca. 95.7% ingrediënten van natuurlijke oorsprong. Geschikt voor kinderen vanaf 3 jaar; ook heerlijk als base onder lipstick.

Aanbrengen wanneer lippen droog aanvoelen of gewoon voor die zoete geurboost.

Kenmerken
• Lippenbalsem parfum aardbei
• Sheaboter, macadamiaolie, carnaubawas BIO
• ±95.7% natuurlijke oorsprong, vegan
• Made in France, vanaf 3 jaar
• Kids & mama lipcare classic

Over Inuwet
Inuwet is een Franse kids- & beauty-merk dat kleur, geur en speelse rituelen combineert met zachte, vegan formules — gemaakt in Frankrijk en ontworpen voor de hele familie (vaak vanaf 3 jaar).";https://inuwet.com/products/baume-a-levres-fraise
3662232002800;VINLB08;Lippenbalsem Kers;Inuwet;3,35;prijs op factuur HT (leverancier): 3,35 €;6,50;https://inuwet.com/products/baume-a-levres-cerise;"Inuwet - Lippenbalsem Kers

Iconische Inuwet-balsem met kersgeur — zacht, vegan en verslavend lekker. 🍒

Deze hydraterende lippenbalsem ruikt heerlijk naar kers en voedt intens dankzij sheaboter, macadamiaolie en biologische carnaubawas. Lippen voelen soepel, comfortabel en beschermd — de hele dag door.

Formule vegan, gemaakt in Frankrijk, met ca. 95.1% ingrediënten van natuurlijke oorsprong. Geschikt voor kinderen vanaf 3 jaar; ook heerlijk als base onder lipstick.

Aanbrengen wanneer lippen droog aanvoelen of gewoon voor die zoete geurboost.

Kenmerken
• Lippenbalsem parfum kers
• Sheaboter, macadamiaolie, carnaubawas BIO
• ±95.1% natuurlijke oorsprong, vegan
• Made in France, vanaf 3 jaar
• Kids & mama lipcare classic

Over Inuwet
Inuwet is een Franse kids- & beauty-merk dat kleur, geur en speelse rituelen combineert met zachte, vegan formules — gemaakt in Frankrijk en ontworpen voor de hele familie (vaak vanaf 3 jaar).";https://inuwet.com/products/baume-a-levres-cerise
3662232002831;VINLB10;Lippenbalsem Suikerspin;Inuwet;3,35;prijs op factuur HT (leverancier): 3,35 €;6,50;https://inuwet.com/products/baume-a-levres-barbe-a-papa;"Inuwet - Lippenbalsem Suikerspin

Iconische Inuwet-balsem met suikerspingeur — zacht, vegan en verslavend lekker. 🍭

Deze hydraterende lippenbalsem ruikt heerlijk naar suikerspin en voedt intens dankzij sheaboter, macadamiaolie en biologische carnaubawas. Lippen voelen soepel, comfortabel en beschermd — de hele dag door.

Formule vegan, gemaakt in Frankrijk, met ca. 98.9% ingrediënten van natuurlijke oorsprong. Geschikt voor kinderen vanaf 3 jaar; ook heerlijk als base onder lipstick.

Aanbrengen wanneer lippen droog aanvoelen of gewoon voor die zoete geurboost.

Kenmerken
• Lippenbalsem parfum suikerspin
• Sheaboter, macadamiaolie, carnaubawas BIO
• ±98.9% natuurlijke oorsprong, vegan
• Made in France, vanaf 3 jaar
• Kids & mama lipcare classic

Over Inuwet
Inuwet is een Franse kids- & beauty-merk dat kleur, geur en speelse rituelen combineert met zachte, vegan formules — gemaakt in Frankrijk en ontworpen voor de hele familie (vaak vanaf 3 jaar).";https://inuwet.com/products/baume-a-levres-barbe-a-papa
3662232005672;VINLB20;Lippenbalsem Métal Goud / Gold (Cheesecake);Inuwet;3,55;prijs op factuur HT (leverancier): 3,55 €;6,50;https://inuwet.com/products/baume-a-levres-red-metal (métal-lijn 6,50 € TTC);"Inuwet - Lippenbalsem Métal Goud / Gold (Cheesecake)

Metallic shine meets soft care — een glanzende balsem met wow-factor. ✨

De métal-collectie combineert de bekende Inuwet-verzorging met een subtiele metallic/shimmer finish (Goud / Gold (Cheesecake)). Ideaal voor wie lippen wil hydrateren én een speelse glow wil.

Rijk aan sheaboter, macadamia-, zonnebloem- en ricinusolie plus biologische carnaubawas. Vegan, Made in France, hoge % natuurlijke oorsprong, vanaf 3 jaar.

Aanbrengen solo voor een glossy metallic look of als topper over een nude tint.

Kenmerken
• Metallic lippenbalsem – Goud / Gold (Cheesecake)
• Shea, macadamia, carnauba BIO
• Vegan & Made in France
• Glow + hydratatie in één stick
• Vanaf 3 jaar

Over Inuwet
Inuwet is een Franse kids- & beauty-merk dat kleur, geur en speelse rituelen combineert met zachte, vegan formules — gemaakt in Frankrijk en ontworpen voor de hele familie (vaak vanaf 3 jaar).";"https://inuwet.com/products/baume-a-levres-purple-metal ; parapharmacie listings Gold/Fuchsia/Pomme d'amour"
3662232005696;VINLB22;Lippenbalsem Métal Fuchsia Metallic;Inuwet;3,55;prijs op factuur HT (leverancier): 3,55 €;6,50;https://inuwet.com/products/baume-a-levres-red-metal (métal-lijn 6,50 € TTC);"Inuwet - Lippenbalsem Métal Fuchsia Metallic

Metallic shine meets soft care — een glanzende balsem met wow-factor. 💗

De métal-collectie combineert de bekende Inuwet-verzorging met een subtiele metallic/shimmer finish (Fuchsia Metallic). Ideaal voor wie lippen wil hydrateren én een speelse glow wil.

Rijk aan sheaboter, macadamia-, zonnebloem- en ricinusolie plus biologische carnaubawas. Vegan, Made in France, hoge % natuurlijke oorsprong, vanaf 3 jaar.

Aanbrengen solo voor een glossy metallic look of als topper over een nude tint.

Kenmerken
• Metallic lippenbalsem – Fuchsia Metallic
• Shea, macadamia, carnauba BIO
• Vegan & Made in France
• Glow + hydratatie in één stick
• Vanaf 3 jaar

Over Inuwet
Inuwet is een Franse kids- & beauty-merk dat kleur, geur en speelse rituelen combineert met zachte, vegan formules — gemaakt in Frankrijk en ontworpen voor de hele familie (vaak vanaf 3 jaar).";"https://inuwet.com/products/baume-a-levres-purple-metal ; parapharmacie listings Gold/Fuchsia/Pomme d'amour"
